Rank,Company_Name,Year,Industry,Env_Sector,Financial_Sector,Country,Legal_Origin,GDP_Per_Capita,LN_GDP_Per_Capita,GDP,LN_GDP,Environmental_Performance_Index,Social_Progress_Index,Governance_Index,Sustainable_Competitiveness_Index,Institutions,Security,Security_1_Organized_Crime,Security_2_Homicide_Rate,Secuirt_3_Terrorism_Incidence,Security_4_Reliability_Policy_Services,Social_Capital,Checks_Balances,Check_Balance_1_Budget_Transparency,Check_Balance_2_Judicial_Independence,Check_Balance_3_Efficiency_Legal_Framework,Check_Balance_4_Freedom_Press,Public_Sector_Performance,Public_Sector_Performance_1_Burden_Government_Regulation,Public_Sector_Performance_2_Efficiency_Legal_Framework,Public_Sector_Performance_3_EParticipation,Transparency_Corruption,Property_Rights,Property_Rights_1_Property_Rigths,Property_Rights_2_Intellectual_Property_Protection,Property_Rights_3_Quality_Land_Administration,Corporate_Governance,CG_1_Strength_Auditing_Accounting_Standards,CG_2_Conflict_Interest_Regulation,CG_3_Shareholder_Governance,Future_Orientation_Government,FOG_1_Government_Ensuring_Policy_Stability,FOG_2_Government_Responsiveness_Change,FOG_3_Adaptability_Digital_Business_Models,FOG_4_Government_Long_Term_Vision,FOG_5_Energy_Efficiency_Regulation,FOG_6_Renewable_Energy_Regulation,FOG_7_Environment_Treaties,Number_of_Employees,LN_N_Employees,Revenues,Profits,Assets,LN_Assets,ROA,SR_1,GRI,IR,Environment_SP,Social_SP,Governance_SP,ESG
123,ENEOS Holdings,2020,Energy,High Risk,Non-Financial,Japan,Code Law (Stakeholder-Oriented),40193.3,10.60145559,4380756.53,15.29273199,75.1,90.44,87.43,55.3,71.7,92.3,82.1,100,99.6,87.2,46.9,68.7,60,86.5,57.6,70.6,72.5,50.1,69,98.3,73,84.2,86.9,83,82.7,66.7,80.2,70,50,69.2,69.6,54.9,54,60.8,68.5,77.4,89.7,40983,10.62091263,75897,-1728.7,74131,11.21358908,-0.023319529,1,1,1,39,35,28,34
124,Aegon,2020,Financials,Low Risk,Financial,Netherlands,Code Law (Stakeholder-Oriented),52397.1,10.86660653,808007.36,13.60232645,75.3,90.57,91.25,53.9,78.6,90.1,78.3,99,99.8,83.2,64.1,81.1,77.4,87.3,68.1,91.4,77.1,56.6,75.7,98.9,82,88.3,84.8,85,95,67.9,86.6,47,70,78.1,78.3,62.5,65.5,64.2,83.5,82.3,100,23757,10.0756325,75344,1386.8,494247,13.11079067,0.002805885,1,1,0,58,45,53,51
125,Freddie Mac,2020,Financials,Low Risk,Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.06026497,19294483,16.77532976,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,6892,8.838116598,75125,7214,2203623,14.60561338,0.0032737,1,1,0, , , , 
126,CITIC Group,2020,Financials,Low Risk,Financial,China, ,10434.8,9.252901653,14631844.42,16.49871084,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,304260,12.62563788,75115,3646.8,1074806,13.88765074,0.003392984,1,1,1,10,13,13,12
127,Centene,2020,Health Care,Low Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.06026497,19294483,16.77532976,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,56600,10.94376426,74639,1321,40994,10.62118099,0.032224228,1,1,0,24,58,52,51
128,Royal Ahold Delhaize,2020,Food & Drug Stores,High Risk,Non-Financial,Netherlands,Code Law (Stakeholder-Oriented),52397.1,10.86660653,808007.36,13.60232645,75.3,90.57,91.25,53.9,78.6,90.1,78.3,99,99.8,83.2,64.1,81.1,77.4,87.3,68.1,91.4,77.1,56.6,75.7,98.9,82,88.3,84.8,85,95,67.9,86.6,47,70,78.1,78.3,62.5,65.5,64.2,83.5,82.3,100,232000,12.35449265,74162,1976.6,46568,10.74866889,0.042445456,1,1,1,87,76,84,83
129,United Parcel Service,2020,Transportation,High Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.06026497,19294483,16.77532976,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,377640,12.84169664,74094,4440,57857,10.96572973,0.07674093,0,0,0,65,58,55,59
130,Nippon Life Insurance,2020,Financials,Low Risk,Financial,Japan,Code Law (Stakeholder-Oriented),40193.3,10.60145559,4380756.53,15.29273199,75.1,90.44,87.43,55.3,71.7,92.3,82.1,100,99.6,87.2,46.9,68.7,60,86.5,57.6,70.6,72.5,50.1,69,98.3,73,84.2,86.9,83,82.7,66.7,80.2,70,50,69.2,69.6,54.9,54,60.8,68.5,77.4,89.7,92122,11.43086906,74048,1767.2,741012,13.5157721,0.002384847,1,1,0, , , , 
131,Uniper,2020,Energy,High Risk,Non-Financial,Germany,Code Law (Stakeholder-Oriented),46208.4,10.74091688,3434435.99,15.04936328,77.2,90.32,80.22,56.6,72.4,80.9,60.1,98.3,96.8,68.3,61.6,71.2,69,66.9,63.6,85.4,71,56.9,63.9,92.1,80,72,71.8,70.9,73.3,63.3,73,50,67,79,71,60,67.3,59,84.5,96.6,100,11743,9.371012597,73652,682.7,49112,10.80185868,0.01390088,1,1,1,38,48,42,42
132,Alibaba Group Holding,2020,Technology,Low Risk,Non-Financial,China, ,10434.8,9.252901653,14631844.42,16.49871084,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,117600,11.67504431,73166,21450.2,185027,12.12825704,0.115930107,0,0,0,2,13,20,14
133,Pemex,2020,Energy,High Risk,Non-Financial,Mexico,Code Law (Stakeholder-Oriented),8329.3,9.027534698,1148749.27,13.95418432,52.6,71.52,29.97,44.9,48.3,40.1,20.1,17.6,98.1,24.7,44.7,49.3,79,33.2,32,53.2,52.9,31.1,33.1,94.4,28,52.9,51.9,52.4,54.3,62.2,69.5,60,57,56.2,43.3,33.4,46.6,32.9,68.6,68.7,82.8,125735,11.7419318,72820,-18038.7,101602,11.5288185,-0.177542765,1,1,0, , , , 
134,Beijing Automotive Group,2020,Motor Vehicles & Parts,High Risk,Non-Financial,China, ,10434.8,9.252901653,14631844.42,16.49871084,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,114315,11.64671307,72554,746.9,71909,11.18315671,0.010386739,1,1,1, , , , 
135,Munich Re Group,2020,Financials,Low Risk,Financial,Germany,Code Law (Stakeholder-Oriented),46208.4,10.74091688,3434435.99,15.04936328,77.2,90.32,80.22,56.6,72.4,80.9,60.1,98.3,96.8,68.3,61.6,71.2,69,66.9,63.6,85.4,71,56.9,63.9,92.1,80,72,71.8,70.9,73.3,63.3,73,50,67,79,71,60,67.3,59,84.5,96.6,100,39662,10.58814883,72537,3048.9,322750,12.68463331,0.009446631,1,1,1, , , , 
136,COFCO,2020,Wholesalers,Low Risk,Non-Financial,China, ,10434.8,9.252901653,14631844.42,16.49871084,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,110896,11.6163481,72149,414.3,85847,11.36032192,0.004826028,1,1,1, , , , 
137,Lowe's,2020,Retailing,Low Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.06026497,19294483,16.77532976,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,260000,12.46843691,72148,4281,39471,10.5833215,0.108459375,1,0,0,56,38,51,48
138,Intel,2020,Technology,Low Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.06026497,19294483,16.77532976,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,110800,11.61548205,71965,21048,136524,11.8242557,0.154170695,1,1,1,75,71,59,67
139,Zurich Insurance Group,2020,Financials,Low Risk,Financial,Switzerland,Code Law (Stakeholder-Oriented),87097,11.37477772,740026.24,13.51444092,81.5,91.78,82.71,60.4,77.5,93.8,84.8,100,100,90.5,62.4,78.8,67.9,87,71,89.5,76,63.2,80.5,84.3,85,85.7,90.4,88.3,78.3,61.6,84.9,33,67,76.8,89.7,67.1,60.5,70.1,68.8,86.7,89.7,54030,10.89729473,71792,4147,404688,12.91087168,0.0102474,1,1,0,96,87,86,88
140,PTT,2020,Energy,High Risk,Non-Financial,Thailand,Common-Law (Shareholder-Oriented),7186.9,8.880015203,432649.18,12.97768247,45.4,70.96,40.32,45,54.8,64.7,54.3,90.8,69.9,43.7,53.2,50,56,49.7,38.6,55.9,54.8,45.8,53.5,65.2,36,54.7,55.4,45.3,63.3,71.9,65.6,83,67,53.3,47.3,47.9,43.8,49.1,59.5,47,72.4,27987,10.2394954,71502,2994.1,82952,11.32601741,0.036094368,1,1,0, , , , 
141,U.S. Postal Service,2020,Transportation,High Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.06026497,19294483,16.77532976,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,565021,13.24461818,71154,-8813,25633,10.15163586,-0.343814614,1,1,0, , , , 
142,Deutsche Post DHL Group,2020,Transportation,High Risk,Non-Financial,Germany,Code Law (Stakeholder-Oriented),46208.4,10.74091688,3434435.99,15.04936328,77.2,90.32,80.22,56.6,72.4,80.9,60.1,98.3,96.8,68.3,61.6,71.2,69,66.9,63.6,85.4,71,56.9,63.9,92.1,80,72,71.8,70.9,73.3,63.3,73,50,67,79,71,60,67.3,59,84.5,96.6,100,504871,13.13205823,70895,2935.8,58555,10.97772176,0.050137478,1,1,0,97,96,84,90
143,BASF,2020,Chemicals,High Risk,Non-Financial,Germany,Code Law (Stakeholder-Oriented),46208.4,10.74091688,3434435.99,15.04936328,77.2,90.32,80.22,56.6,72.4,80.9,60.1,98.3,96.8,68.3,61.6,71.2,69,66.9,63.6,85.4,71,56.9,63.9,92.1,80,72,71.8,70.9,73.3,63.3,73,50,67,79,71,60,67.3,59,84.5,96.6,100,117628,11.67528238,70723,9425.3,97593,11.48856105,0.096577623,1,1,0,62,42,43,49
144,Facebook,2020,Technology,Low Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.06026497,19294483,16.77532976,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,44942,10.71312805,70697,18485,133376,11.80092749,0.13859315,1,1,0, , , , 
145,Sinopharm,2020,Health Care,Low Risk,Non-Financial,China, ,10434.8,9.252901653,14631844.42,16.49871084,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,155622,11.95518527,70690,912.2,56506,10.94210211,0.016143418,1,1,0, , , , 
146,ArcelorMittal,2020,Materials,High Risk,Non-Financial,Luxembourg, ,116014.6,11.66147132,66091.29,11.09879225,82.3,88.75,94.92,53.9,75.9,90.6,76.5,100,100,85.9,60.5,73.6,56.4,84.8,68.9,84.3,74.4,58.9,70.7,93.8,81,84.8,84.9,84.4,85,60.9,85.6,50,47,81.3,86.9,78.2,77.4,81.9,75.1,76.5,93.1,191248,12.16132629,70615,-2454,87908,11.38404609,-0.027915548,1,1,0,44,40,42,42
147,Country Garden Holdings,2020,Real Estate,Low Risk,Non-Financial,China, ,10434.8,9.252901653,14631844.42,16.49871084,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,101784,11.5306082,70335,5724.9,273792,12.52012397,0.020909669,1,1,0,48,52,54,51
148,FedEx,2020,Transportation,High Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.06026497,19294483,16.77532976,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,374198,12.83254035,69693,540,54403,10.90417458,0.009925923,1,1,0,47,25,36,35
149,MetLife,2020,Financials,Low Risk,Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.06026497,19294483,16.77532976,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,49000,10.79957558,69620,5899,740463,13.51503095,0.007966637,1,1,0,80,55,69,66
150,Walt Disney,2020,Media,Low Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.06026497,19294483,16.77532976,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,223000,12.31492705,69570,11054,193984,12.17553096,0.056984081,1,1,0,46,17,32,28
151,Indian Oil,2020,Energy,High Risk,Non-Financial,India,Common-Law (Shareholder-Oriented),1927.7,7.564082861,2500132.19,14.73185416,27.6,58.81,45.85,40.9,56.8,56.8,55,90.8,26.3,53.4,46.8,51.9,48,54.8,50.3,54.3,66.4,51.8,51.8,95.5,41,47.8,56.9,57.4,29,74.2,62.5,73,87,69.7,58.6,55.9,58.9,60,66.4,87.3,89.7,34996,10.46298905,69246,-126,43609,10.68301883,-0.002889312,1,1,1,46,38,28,37
152,China Evergrande Group,2020,Real Estate,Low Risk,Non-Financial,China, ,10434.8,9.252901653,14631844.42,16.49871084,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,133123,11.79902879,69127,2501.3,316778,12.66595649,0.007896066,1,0,0,25,29,23,26
153,Panasonic,2020,Technology,Low Risk,Non-Financial,Japan,Code Law (Stakeholder-Oriented),40193.3,10.60145559,4380756.53,15.29273199,75.1,90.44,87.43,55.3,71.7,92.3,82.1,100,99.6,87.2,46.9,68.7,60,86.5,57.6,70.6,72.5,50.1,69,98.3,73,84.2,86.9,83,82.7,66.7,80.2,70,50,69.2,69.6,54.9,54,60.8,68.5,77.4,89.7,259385,12.46606872,68897,2076,57542,10.96027039,0.036077995,0,0,0,58,21,14,25
154,China North Industries Group,2020,Aerospace & Defense,High Risk,Non-Financial,China, ,10434.8,9.252901653,14631844.42,16.49871084,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,204378,12.2277265,68714,1283.7,61502,11.02682497,0.020872492,1,1,0, , , , 
155,Brookfield Asset Management,2020,Financials,Low Risk,Financial,Canada,Code Law (Stakeholder-Oriented),43294.6,10.67578319,1607402.45,14.29013005,71,91.41,77.35,50.6,74.1,86,70.5,95.6,98.8,79.2,63.3,72.2,71,77.4,56,84.3,67,48.3,61.7,91,81,74.5,77.2,74.5,71.7,79.5,81.6,87,70,69.1,64.9,54.2,58,57,87.7,82.3,69,151000,11.92503512,67826,2807,323969,12.68840311,0.008664409,1,1,1,44,28,47,45
156,Procter & Gamble,2020,Household Products,High Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.06026497,19294483,16.77532976,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,97000,11.48246626,67684,3897,115095,11.65351315,0.033858986,0,0,0,73,44,59,58
157,PowerChina,2020,Engineering & Construction,High Risk,Non-Financial,China, ,10434.8,9.252901653,14631844.42,16.49871084,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,180416,12.10302057,67371,772.8,139084,11.84283335,0.005556354,1,1,0,5,19,9,11
158,China Telecommunications,2020,Telecommunications,Low Risk,Non-Financial,China, ,10434.8,9.252901653,14631844.42,16.49871084,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,401965,12.9041203,67365,1802.6,129343,11.77022307,0.013936587,1,1,0,34,41,22,31
159,Engie,2020,Energy,High Risk,Non-Financial,France,Code Law (Stakeholder-Oriented),39030.4,10.57209611,2410285.65,14.69525583,80,88.23,73.52,56.8,70,81.1,63.5,97.3,92.5,71,56.1,68.2,79,64.7,56.1,77.8,66.7,42.8,60.8,96.6,72,76,70.3,77.6,80,69.3,73.9,57,77,71,62.1,56,50.8,58.8,72.4,86.3,96.6,171103,12.05002099,67220,1101.3,179352,12.09710563,0.006140439,0,0,0,76,87,82,81
160,PepsiCo,2020,"Food, Beverages & Tobacco",High Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.06026497,19294483,16.77532976,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,267000,12.49500394,67161,7314,78547,11.27145245,0.093116223,1,1,1,44,25,33,34
161,Mitsubishi UFJ Financial Group,2020,Financials,Low Risk,Financial,Japan,Code Law (Stakeholder-Oriented),40193.3,10.60145559,4380756.53,15.29273199,75.1,90.44,87.43,55.3,71.7,92.3,82.1,100,99.6,87.2,46.9,68.7,60,86.5,57.6,70.6,72.5,50.1,69,98.3,73,84.2,86.9,83,82.7,66.7,80.2,70,50,69.2,69.6,54.9,54,60.8,68.5,77.4,89.7,138570,11.83913089,67135,4857.8,3114383,14.95154162,0.001559795,1,1,1,75,50,50,53
162,Bank of Communications,2020,Financials,Low Risk,Financial,China, ,10434.8,9.252901653,14631844.42,16.49871084,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,87828,11.38313564,66564,11186.4,1422054,14.16761286,0.007866368,1,1,0,32,29,20,24
163,Aviation Industry Corp. of China,2020,Aerospace & Defense,High Risk,Non-Financial,China, ,10434.8,9.252901653,14631844.42,16.49871084,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,417798,12.94275334,65909,578.1,144798,11.88309495,0.003992458,1,1,0, , , , 
164,ChemChina,2020,Chemicals,High Risk,Non-Financial,China, ,10434.8,9.252901653,14631844.42,16.49871084,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,145526,11.88811004,65767,-1250.9,121160,11.70486727,-0.010324364,0,0,0, , , , 
165,Dai-ichi Life Holdings,2020,Financials,Low Risk,Financial,Japan,Code Law (Stakeholder-Oriented),40193.3,10.60145559,4380756.53,15.29273199,75.1,90.44,87.43,55.3,71.7,92.3,82.1,100,99.6,87.2,46.9,68.7,60,86.5,57.6,70.6,72.5,50.1,69,98.3,73,84.2,86.9,83,82.7,66.7,80.2,70,50,69.2,69.6,54.9,54,60.8,68.5,77.4,89.7,63719,11.06223807,65434,298.3,555307,13.22727639,0.00053718,1,1,0,88,73,72,75
166,Humana,2020,Health Care,Low Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.06026497,19294483,16.77532976,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,46000,10.73639668,64888,2707,29074,10.27759958,0.093107244,0,0,0,84,62,64,65
167,Prudential Financial,2020,Financials,Low Risk,Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.06026497,19294483,16.77532976,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,51511,10.84955066,64807,4186,896552,13.70631157,0.004668999,1,1,0,71,17,43,38
168,Archer Daniels Midland,2020,"Food, Beverages & Tobacco",High Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.06026497,19294483,16.77532976,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,38100,10.54796956,64656,1379,43997,10.69187673,0.031343046,1,1,1,64,57,66,63
169,Equinor,2020,Energy,High Risk,Non-Financial,Norway,Code Law (Stakeholder-Oriented),67329.7,11.11735673,403552.92,12.90806291,77.7,92.63,96.75,59.8,76.9,90.8,83.4,100,100,79.8,66.4,79.4,85,83.5,56.9,92.2,70.4,47.5,66.1,97.8,84,73.6,79.3,74.6,66.7,77.7,83,67,83,73.1,70.7,58.5,60.3,62.6,75.6,74,100,21412,9.971706792,64357,1843,118063,11.67897366,0.01561031,1,1,0,58,46,38,46
170,Lloyds Banking Group,2020,Financials,Low Risk,Financial,United Kingdom,Common-Law (Shareholder-Oriented),41059.2,10.62277021,2891615.58,14.87732593,81.3,88.25,83.53,54.6,74.4,79.4,61.7,97.6,88.3,69.8,64.4,70.1,74,69.5,59.1,77.8,74,55.6,68.1,98.3,80,78.5,74.9,75.5,85,74.5,73.4,83,67,74.5,60.1,58.4,64.8,51.4,84.2,90.6,96.6,63069,11.05198464,64297,3732.5,1104491,13.91489515,0.003379385,1,1,0,77,47,44,49
171,Roche Group,2020,Health Care,Low Risk,Non-Financial,Switzerland,Code Law (Stakeholder-Oriented),87097,11.37477772,740026.24,13.51444092,81.5,91.78,82.71,60.4,77.5,93.8,84.8,100,100,90.5,62.4,78.8,67.9,87,71,89.5,76,63.2,80.5,84.3,85,85.7,90.4,88.3,78.3,61.6,84.9,33,67,76.8,89.7,67.1,60.5,70.1,68.8,86.7,89.7,97735,11.49001501,63434,13429.8,80440,11.29526684,0.166954252,1,1,1, , , , 
172,Mitsui,2020,Wholesalers,Low Risk,Non-Financial,Japan,Code Law (Stakeholder-Oriented),40193.3,10.60145559,4380756.53,15.29273199,75.1,90.44,87.43,55.3,71.7,92.3,82.1,100,99.6,87.2,46.9,68.7,60,86.5,57.6,70.6,72.5,50.1,69,98.3,73,84.2,86.9,83,82.7,66.7,80.2,70,50,69.2,69.6,54.9,54,60.8,68.5,77.4,89.7,45624,10.72818917,63327,3601,109247,11.60136665,0.032962004,1,1,1,77,80,65,73
173,Marubeni,2020,Wholesalers,Low Risk,Non-Financial,Japan,Code Law (Stakeholder-Oriented),40193.3,10.60145559,4380756.53,15.29273199,75.1,90.44,87.43,55.3,71.7,92.3,82.1,100,99.6,87.2,46.9,68.7,60,86.5,57.6,70.6,72.5,50.1,69,98.3,73,84.2,86.9,83,82.7,66.7,80.2,70,50,69.2,69.6,54.9,54,60.8,68.5,77.4,89.7,49515,10.81003093,62799,-1816.1,58481,10.97645719,-0.031054531,1,1,0,53,48,50,50
174,Albertsons,2020,Retailing,Low Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.06026497,19294483,16.77532976,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,270000,12.50617724,62455,466.4,24735,10.11597452,0.018855872,1,1,0, , , , 
175,Renault,2020,Motor Vehicles & Parts,High Risk,Non-Financial,France,Code Law (Stakeholder-Oriented),39030.4,10.57209611,2410285.65,14.69525583,80,88.23,73.52,56.8,70,81.1,63.5,97.3,92.5,71,56.1,68.2,79,64.7,56.1,77.8,66.7,42.8,60.8,96.6,72,76,70.3,77.6,80,69.3,73.9,57,77,71,62.1,56,50.8,58.8,72.4,86.3,96.6,179565,12.09829254,62160,-157.8,137125,11.8286482,-0.001150775,1,1,1,78,41,30,48
176,Greenland Holding Group,2020,Financials,Low Risk,Financial,China, ,10434.8,9.252901653,14631844.42,16.49871084,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,52576,10.87001502,61965,2134.1,164478,12.0105321,0.012974988,1,1,0,2,4,9,5
