,ID,Gender,MaritalStat,EducationLevel,Field,Experience,HappyWorkingHere?,TakeAdditionalCourse?,Position,Sector,Age,SatisfiedMySalary,WagePolicyFairness,SatisfiedNonWageCompensation,SatisfiedMyWork,SatisfiedMyOrganization,ManagementAttitude,WageReward,ColleaguesAttitude,WorkingConditions,JobSecurity,FinancialPerformance,NonFinancialPerformans
124,125.0,Male,Married,PhD,Education,11 - 15 Years,Yes,No,Mid-level manager,Private,38.0,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Agree,4.08,2.71,4.0,4.33,5.0,1.75,4.75
125,126.0,Male,Married,PhD,Education,16 - 20 Years,Yes,No,Senior manager,Private,43.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4.58,4.14,4.67,5.0,5.0,3.0,4.5
126,127.0,Male,Married,PhD,Education,6 - 10 Years,Yes,No,Expert,Private,32.0,Agree,Disagree,Disagree,Strongly agree,Agree,4.25,3.0,3.0,4.67,5.0,4.75,4.25
127,128.0,Male,Married,Master,Finance,6 - 10 Years,No,Yes,Expert,Private,30.0,Disagree,Disagree,Disagree,Agree,Strongly agree,2.83,2.29,2.5,4.0,5.0,2.25,3.0
128,129.0,Male,Married,Bachelor,Finance,6 - 10 Years,No,Yes,Mid-level manager,Private,36.0,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,4.25,3.57,4.5,4.17,4.5,4.0,4.0
129,130.0,Male,Married,Master,Production,1 - 5 Years,Yes,No,Senior manager,Private,33.0,Neither agree nor disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,3.83,2.14,3.67,3.17,4.5,1.0,1.25
130,131.0,Male,Married,PhD,Finance,11 - 15 Years,Yes,No,Expert,Private,35.0,Agree,Agree,Strongly disagree,Neither agree nor disagree,Agree,3.08,2.86,3.83,3.67,4.5,3.25,4.0
131,132.0,Male,Married,PhD,Finance,21 + Years,No,Yes,Expert,Private,49.0,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,1.0,2.29,1.83,1.83,3.5,2.5,1.0
132,133.0,Male,Married,Master,Finance,6 - 10 Years,No,Yes,Expert,Private,35.0,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,3.08,2.71,2.83,2.83,5.0,4.0,4.0
133,134.0,Female,Married,Master,Finance,1 - 5 Years,Yes,Yes,Expert,Private,30.0,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,4.25,2.43,3.17,3.33,3.5,4.5,4.75
134,135.0,Male,Married,Master,Finance,1 - 5 Years,Yes,Yes,Senior manager,Private,27.0,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,4.92,4.71,4.5,5.0,5.0,5.0,5.0
135,136.0,Female,Married,Master,Production,6 - 10 Years,Yes,Yes,Staff,State,30.0,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,2.92,2.43,1.83,3.17,4.5,4.0,3.75
136,137.0,Male,Married,Bachelor,Education,1 - 5 Years,No,No,Staff,State,26.0,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,1.33,1.0,2.0,2.0,1.5,1.0,1.0
137,138.0,Male,Married,Bachelor,Education,1 - 5 Years,No,No,Staff,State,26.0,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,3.92,3.29,3.5,3.0,3.5,3.25,3.75
138,139.0,Male,Married,PhD,Education,1 - 5 Years,Yes,Yes,Expert,Private,38.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,5.0,5.0,5.0,5.0,5.0,4.5,5.0
139,140.0,Male,Married,Bachelor,Finance,1 - 5 Years,Yes,Yes,Staff,State,29.0,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,4.0,3.14,3.83,4.5,3.0,4.0,4.5
140,141.0,Female,Married,Master,Education,6 - 10 Years,No,No,Expert,Private,32.0,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,2.42,2.14,3.5,2.67,1.0,3.0,2.0
141,142.0,Male,Married,Bachelor,Finance,21 + Years,Yes,Yes,Mid-level manager,Private,47.0,Agree,Neither agree nor disagree,Disagree,Agree,Agree,3.67,3.86,3.17,4.0,5.0,3.75,3.25
142,143.0,Female,Married,Master,Production,6 - 10 Years,No,No,Staff,State,29.0,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,2.92,1.71,1.17,1.67,3.0,3.25,3.5
143,144.0,Male,Married,PhD,Education,16 - 20 Years,No,No,Mid-level manager,Private,47.0,Disagree,Disagree,Disagree,Agree,Agree,3.75,2.57,2.67,3.67,4.0,3.25,3.0
144,145.0,Male,Married,Master,Production,11 - 15 Years,No,Yes,Mid-level manager,Private,37.0,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,2.25,1.57,3.67,1.83,2.5,2.25,3.75
145,146.0,Male,Married,Bachelor,Finance,1 - 5 Years,Yes,Yes,Expert,Private,25.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,5.0,5.0,5.0,5.0,5.0,5.0,5.0
146,147.0,Male,Married,Bachelor,Information Technology,11 - 15 Years,Yes,No,Expert,Private,38.0,Agree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,3.5,3.0,3.5,3.17,3.5,2.0,2.75
147,148.0,Male,Married,Master,Production,6 - 10 Years,Yes,No,Expert,Private,33.0,Disagree,Disagree,Disagree,Disagree,Disagree,2.5,2.0,2.67,2.83,4.5,3.5,2.5
148,149.0,Male,Married,Bachelor,Production,21 + Years,Yes,Yes,Staff,State,48.0,Agree,Agree,Agree,Agree,Agree,4.0,4.0,4.0,4.0,4.0,4.0,4.0
149,150.0,Female,Married,PhD,Education,1 - 5 Years,Yes,No,Expert,Private,30.0,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,3.92,3.57,4.0,4.5,2.5,3.75,3.5
150,151.0,Male,Married,Master,Finance,16 - 20 Years,No,No,Mid-level manager,Private,40.0,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,3.17,2.14,4.17,3.33,2.5,3.0,3.0
151,152.0,Male,Married,PhD,Education,1 - 5 Years,Yes,Yes,Staff,State,46.0,Agree,Neither agree nor disagree,Disagree,Strongly agree,Agree,3.42,2.43,2.0,3.83,3.5,2.75,3.0
152,153.0,Male,Married,PhD,Education,11 - 15 Years,Yes,No,Expert,Private,39.0,Strongly disagree,Disagree,Strongly disagree,Agree,Agree,3.33,2.43,4.0,4.33,2.5,3.25,3.75
153,154.0,Female,Married,Bachelor,Finance,6 - 10 Years,Yes,No,Staff,State,34.0,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2.17,1.57,2.0,2.17,1.0,1.5,2.25
154,155.0,Male,Married,Bachelor,Information Technology,21 + Years,Yes,Yes,Senior manager,Private,57.0,Agree,Agree,Agree,Strongly agree,Strongly agree,4.92,4.0,3.17,5.0,4.5,4.75,4.5
155,156.0,Female,Married,Bachelor,Production,6 - 10 Years,No,No,Operation manager,State,29.0,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,2.33,1.29,1.17,2.5,2.5,4.0,3.75
156,157.0,Male,Married,Master,Production,1 - 5 Years,Yes,No,Mid-level manager,Private,28.0,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,4.42,2.43,2.0,4.83,4.5,3.0,3.75
157,158.0,Male,Married,PhD,Education,6 - 10 Years,Yes,Yes,Staff,State,31.0,Disagree,Neither agree nor disagree,Disagree,Strongly agree,Disagree,3.17,2.71,3.83,3.17,5.0,3.0,3.25
158,159.0,Male,Married,Master,Finance,6 - 10 Years,Yes,No,Expert,Private,38.0,Agree,Disagree,Agree,Agree,Neither agree nor disagree,3.17,2.86,3.33,3.0,5.0,3.0,3.0
159,160.0,Male,Married,Master,Finance,6 - 10 Years,No,No,Mid-level manager,Private,31.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,3.25,3.0,3.17,3.0,3.0,3.5,3.5
160,161.0,Male,Married,PhD,Education,11 - 15 Years,Yes,Yes,Expert,Private,39.0,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,2.75,2.43,2.83,3.17,2.5,3.0,3.0
161,162.0,Male,Married,Bachelor,Production,6 - 10 Years,Yes,Yes,Senior manager,Private,32.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,5.0,5.0,5.0,5.0,5.0,4.25,4.5
162,163.0,Male,Married,PhD,Education,21 + Years,Yes,No,Mid-level manager,Private,43.0,Disagree,Disagree,Strongly disagree,Disagree,Neither agree nor disagree,2.08,2.14,2.5,2.67,2.0,3.5,3.0
163,164.0,Male,Married,PhD,Education,21 + Years,Yes,Yes,Mid-level manager,Private,49.0,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,4.08,3.71,4.0,4.5,5.0,4.0,4.0
164,165.0,Male,Married,PhD,Education,16 - 20 Years,Yes,No,Mid-level manager,Private,44.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,3.67,3.57,3.0,4.17,4.0,4.0,4.0
165,166.0,Male,Married,Master,Education,6 - 10 Years,Yes,No,Expert,Private,32.0,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,3.08,1.71,3.83,3.83,3.5,1.75,2.0
166,167.0,Male,Married,PhD,Education,11 - 15 Years,Yes,Yes,Staff,State,34.0,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,1.58,1.86,5.0,3.33,5.0,1.0,1.0
167,168.0,Male,Married,Master,Education,16 - 20 Years,Yes,Yes,Mid-level manager,Private,42.0,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,2.0,2.14,2.33,3.33,2.5,1.25,1.75
168,169.0,Female,Married,Master,Health Care,6 - 10 Years,No,Yes,Staff,State,34.0,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,2.83,1.71,3.5,2.83,3.5,2.75,3.0
169,170.0,Male,Married,Master,Finance,21 + Years,Yes,Yes,Mid-level manager,Private,43.0,Agree,Neither agree nor disagree,Disagree,Agree,Disagree,2.42,2.86,3.0,2.83,3.0,2.0,2.0
170,171.0,Male,Married,Master,Health Care,16 - 20 Years,No,No,Mid-level manager,Private,40.0,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Agree,3.67,1.86,3.67,2.5,4.5,4.0,4.0
171,172.0,Male,Married,Master,Health Care,21 + Years,Yes,Yes,Mid-level manager,Private,50.0,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,4.5,3.57,4.5,4.67,5.0,4.75,5.0
172,173.0,Female,Married,Master,Health Care,6 - 10 Years,Yes,Yes,Mid-level manager,Private,29.0,Neither agree nor disagree,Disagree,Strongly disagree,Agree,Agree,4.42,2.29,4.67,4.0,5.0,3.25,3.5
173,174.0,Female,Married,Master,Health Care,16 - 20 Years,Yes,Yes,Mid-level manager,Private,42.0,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,3.25,1.57,3.0,2.5,5.0,3.5,4.5
174,175.0,Female,Married,Master,Production,1 - 5 Years,Yes,No,Expert,Private,24.0,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,2.67,2.14,2.5,2.5,2.0,3.25,2.75
175,176.0,Male,Married,Master,Education,16 - 20 Years,No,Yes,Expert,Private,41.0,Agree,Neither agree nor disagree,Disagree,Agree,Agree,2.5,3.29,3.83,3.17,4.0,2.0,3.0
176,177.0,Female,Married,Master,Health Care,6 - 10 Years,Yes,Yes,Staff,State,32.0,Agree,Agree,Strongly disagree,Agree,Strongly disagree,2.42,2.14,3.83,2.0,4.0,2.75,3.25
177,178.0,Female,Married,Master,Health Care,11 - 15 Years,Yes,Yes,Mid-level manager,Private,37.0,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,4.83,2.43,5.0,4.83,5.0,3.75,4.0
178,179.0,Female,Married,Master,Health Care,6 - 10 Years,Yes,Yes,Staff,State,32.0,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree,Agree,3.5,2.29,2.5,3.67,4.0,4.0,4.0
179,180.0,Female,Married,Bachelor,Health Care,16 - 20 Years,No,Yes,Staff,State,37.0,Neither agree nor disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,4.83,3.0,5.0,4.83,5.0,4.75,5.0
180,181.0,Female,Married,Bachelor,Health Care,6 - 10 Years,No,No,Staff,State,33.0,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,4.0,3.14,4.83,4.67,4.5,4.25,4.25
181,182.0,Female,Married,Bachelor,Health Care,6 - 10 Years,No,No,Staff,State,28.0,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,3.0,2.14,4.33,2.83,1.0,1.5,1.5
182,183.0,Female,Married,Bachelor,Health Care,6 - 10 Years,No,Yes,Staff,State,31.0,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,3.75,1.86,4.83,3.33,3.5,3.0,3.5
183,184.0,Female,Married,Bachelor,Health Care,1 - 5 Years,Yes,No,Staff,State,26.0,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,1.58,1.57,4.33,2.67,2.0,1.0,1.5
184,185.0,Female,Married,Bachelor,Health Care,16 - 20 Years,Yes,No,Staff,State,36.0,Agree,Neither agree nor disagree,Agree,Agree,Agree,3.67,3.29,4.5,3.67,4.0,3.0,3.0
185,186.0,Female,Married,Bachelor,Education,21 + Years,Yes,No,Mid-level manager,Private,37.0,Disagree,Strongly disagree,Strongly disagree,Agree,Neither agree nor disagree,3.83,1.71,1.67,3.5,3.0,1.0,1.0
186,187.0,Male,Married,Master,Finance,6 - 10 Years,Yes,Yes,Operation manager,State,34.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4.92,5.0,4.17,4.83,4.5,2.75,3.5
187,188.0,Female,Married,Master,Education,1 - 5 Years,Yes,No,Staff,State,29.0,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,3.58,3.0,2.0,4.5,5.0,2.0,2.0
188,189.0,Male,Married,Master,Finance,1 - 5 Years,Yes,Yes,Senior manager,Private,28.0,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,4.67,2.71,4.5,4.5,5.0,4.5,4.75
189,190.0,Male,Married,PhD,Education,6 - 10 Years,Yes,No,Staff,State,33.0,Strongly disagree,Disagree,Neither agree nor disagree,Strongly agree,Strongly agree,2.83,2.43,2.83,3.5,5.0,2.0,2.0
190,191.0,Female,Married,Master,Health Care,1 - 5 Years,Yes,Yes,Staff,State,36.0,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,4.5,4.0,4.67,4.67,3.5,5.0,5.0
191,192.0,Female,Married,Master,Health Care,16 - 20 Years,Yes,Yes,Mid-level manager,Private,39.0,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,2.5,1.43,2.5,1.67,3.0,4.5,5.0
192,193.0,Female,Married,Bachelor,Health Care,21 + Years,Yes,No,Staff,State,42.0,Agree,Agree,Neither agree nor disagree,Agree,Agree,4.0,3.71,4.5,3.67,4.5,4.0,4.0
193,194.0,Male,Married,Master,Education,1 - 5 Years,Yes,No,Mid-level manager,Private,28.0,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,3.75,4.57,4.0,4.67,5.0,4.5,4.25
194,195.0,Male,Married,Master,Finance,1 - 5 Years,Yes,Yes,Expert,Private,29.0,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2.83,2.71,3.83,3.17,2.5,2.25,2.25
195,196.0,Male,Married,Master,Education,6 - 10 Years,Yes,No,Expert,Private,33.0,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly agree,Strongly agree,4.42,3.71,4.0,5.0,5.0,4.75,4.5
196,197.0,Male,Married,PhD,Education,11 - 15 Years,No,No,Mid-level manager,Private,36.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,4.17,3.43,3.5,4.33,5.0,3.0,3.25
197,198.0,Female,Married,Bachelor,Health Care,16 - 20 Years,No,No,Staff,State,38.0,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,3.42,1.71,4.33,3.83,5.0,2.75,3.25
198,199.0,Female,Married,Master,Health Care,11 - 15 Years,No,No,Staff,State,34.0,Agree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,2.42,2.0,3.5,2.5,4.0,3.25,3.5
199,200.0,Female,Married,PhD,Health Care,16 - 20 Years,No,No,Staff,State,45.0,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,1.83,2.29,3.67,2.83,2.5,2.75,3.0
200,201.0,Male,Married,Bachelor,Health Care,6 - 10 Years,Yes,No,Staff,State,30.0,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,3.08,1.86,2.33,2.5,4.0,2.0,2.0
201,202.0,Female,Married,Bachelor,Health Care,1 - 5 Years,Yes,No,Expert,Private,32.0,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,2.83,2.71,3.67,3.0,4.0,2.75,2.5
202,203.0,Male,Married,PhD,Health Care,21 + Years,Yes,No,Senior manager,Private,57.0,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,4.33,4.14,3.67,3.33,5.0,4.75,5.0
203,204.0,Male,Married,PhD,Education,6 - 10 Years,Yes,Yes,Staff,State,30.0,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,2.83,1.86,1.67,3.33,2.0,1.75,2.25
204,205.0,Male,Married,Bachelor,Health Care,11 - 15 Years,Yes,Yes,Mid-level manager,Private,35.0,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,1.92,1.43,2.0,1.83,3.0,3.0,1.25
205,206.0,Female,Married,Master,Finance,1 - 5 Years,Yes,Yes,Expert,Private,28.0,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,2.92,1.71,2.67,3.17,1.0,3.5,3.75
206,207.0,Female,Married,Bachelor,Health Care,6 - 10 Years,No,No,Staff,State,33.0,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,1.5,1.29,3.17,2.5,4.0,2.0,1.5
207,208.0,Female,Married,Master,Health Care,1 - 5 Years,Yes,Yes,Staff,State,31.0,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Agree,2.25,1.86,3.17,2.5,5.0,2.5,1.5
208,209.0,Female,Married,PhD,Education,1 - 5 Years,Yes,No,Staff,State,28.0,Neither agree nor disagree,Agree,Disagree,Agree,Neither agree nor disagree,3.25,2.43,3.67,3.5,5.0,3.0,3.0
209,210.0,Male,Married,Bachelor,Finance,11 - 15 Years,Yes,Yes,Operation manager,State,36.0,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,4.17,3.71,3.83,4.17,5.0,2.75,3.0
210,211.0,Male,Married,Master,Education,6 - 10 Years,Yes,Yes,Staff,State,35.0,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,4.42,4.29,3.5,4.67,5.0,3.5,3.75
211,212.0,Male,Married,PhD,Finance,1 - 5 Years,No,Yes,Mid-level manager,Private,40.0,Strongly disagree,Disagree,Agree,Agree,Agree,4.42,2.14,3.5,2.67,5.0,2.75,2.25
212,213.0,Female,Married,Bachelor,Health Care,21 + Years,No,Yes,Operation manager,State,46.0,Disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,3.25,2.14,3.33,3.33,3.0,2.5,3.5
213,214.0,Female,Married,Bachelor,Finance,21 + Years,Yes,Yes,Operation manager,State,50.0,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Agree,3.75,2.29,3.33,3.5,4.0,3.25,4.0
214,215.0,Female,Married,Master,Health Care,6 - 10 Years,No,Yes,Staff,State,30.0,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,2.5,3.0,2.67,1.33,5.0,2.75,2.75
215,216.0,Female,Married,Bachelor,Finance,16 - 20 Years,Yes,No,Mid-level manager,Private,52.0,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,1.92,1.29,4.67,1.67,3.0,2.25,1.75
216,217.0,Female,Married,Bachelor,Education,16 - 20 Years,Yes,Yes,Senior manager,Private,46.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,4.17,2.43,3.0,3.83,5.0,3.5,2.75
217,218.0,Female,Married,Master,Health Care,21 + Years,No,Yes,Expert,Private,40.0,Disagree,Strongly agree,Strongly disagree,Disagree,Disagree,1.67,1.86,2.0,1.83,4.5,3.25,4.25
218,219.0,Male,Married,Master,Education,6 - 10 Years,Yes,No,Mid-level manager,Private,38.0,Agree,Agree,Disagree,Agree,Agree,4.0,3.71,4.17,4.17,4.5,3.25,3.75
219,220.0,Male,Married,Bachelor,Education,11 - 15 Years,Yes,Yes,Staff,State,38.0,Neither agree nor disagree,Disagree,Disagree,Strongly agree,Strongly agree,4.42,3.14,4.83,4.33,4.5,4.25,4.25
220,221.0,Female,Married,Master,Health Care,16 - 20 Years,Yes,No,Senior manager,Private,42.0,Agree,Agree,Disagree,Agree,Strongly agree,4.58,3.71,4.17,4.5,5.0,3.5,3.75
221,222.0,Female,Married,Bachelor,Health Care,16 - 20 Years,Yes,Yes,Mid-level manager,Private,49.0,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,3.42,2.86,4.0,3.5,3.5,4.25,4.25
222,223.0,Male,Married,Master,Finance,1 - 5 Years,Yes,Yes,Expert,Private,31.0,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,3.25,3.29,3.5,3.67,3.0,3.75,3.25
223,224.0,Male,Married,Bachelor,Education,21 + Years,Yes,Yes,Mid-level manager,Private,40.0,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree,Agree,1.5,2.29,3.5,3.67,1.0,2.5,2.25
224,225.0,Female,Married,Bachelor,Health Care,21 + Years,Yes,Yes,Mid-level manager,Private,48.0,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,3.75,2.43,3.33,3.0,2.0,2.0,2.0
225,226.0,Female,Married,Bachelor,Education,21 + Years,Yes,Yes,Expert,Private,53.0,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,4.75,3.29,4.17,4.5,4.5,4.25,4.75
226,227.0,Male,Married,PhD,Education,11 - 15 Years,Yes,Yes,Mid-level manager,Private,42.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,3.75,3.43,3.5,3.67,3.5,3.75,3.5
227,228.0,Male,Married,PhD,Education,11 - 15 Years,No,Yes,Expert,Private,36.0,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,2.58,2.14,2.67,2.83,2.0,3.0,3.75
228,229.0,Female,Married,Master,Education,1 - 5 Years,Yes,Yes,Expert,Private,31.0,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,4.33,4.57,4.67,5.0,4.0,3.75,4.75
229,230.0,Male,Married,Master,Health Care,16 - 20 Years,No,Yes,Staff,State,42.0,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,2.17,1.14,2.67,1.33,3.0,3.25,2.5
230,231.0,Male,Married,Master,Finance,6 - 10 Years,Yes,Yes,Senior manager,Private,30.0,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,4.08,3.71,3.0,3.83,3.5,3.25,3.75
231,232.0,Female,Married,Master,Finance,6 - 10 Years,No,Yes,Mid-level manager,Private,30.0,Agree,Neither agree nor disagree,Agree,Agree,Agree,4.92,4.0,4.83,4.17,5.0,5.0,4.75
232,233.0,Male,Married,Master,Finance,6 - 10 Years,Yes,Yes,Mid-level manager,Private,32.0,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,3.83,3.57,4.0,4.17,5.0,4.0,4.0
233,234.0,Female,Married,Master,Health Care,16 - 20 Years,No,Yes,Mid-level manager,Private,34.0,Neither agree nor disagree,Disagree,Strongly disagree,Disagree,Disagree,3.17,2.14,2.33,2.33,4.0,2.75,3.0
234,235.0,Female,Married,Master,Health Care,11 - 15 Years,Yes,Yes,Mid-level manager,Private,33.0,Strongly disagree,Strongly disagree,Strongly agree,Agree,Agree,3.92,2.71,4.5,4.0,4.5,3.0,3.0
235,236.0,Female,Married,Master,Finance,1 - 5 Years,No,No,Expert,Private,24.0,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,3.33,2.86,4.33,2.67,2.5,4.5,4.75
236,237.0,Male,Married,Bachelor,Information Technology,6 - 10 Years,Yes,No,Expert,Private,29.0,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,5.0,4.43,5.0,5.0,5.0,4.75,4.75
237,238.0,Male,Married,Master,Finance,6 - 10 Years,Yes,Yes,Mid-level manager,Private,31.0,Neither agree nor disagree,Strongly disagree,Agree,Neither agree nor disagree,Strongly disagree,2.25,2.86,1.17,2.0,4.0,3.25,3.0
238,239.0,Male,Married,Master,Finance,11 - 15 Years,No,Yes,Mid-level manager,Private,33.0,Neither agree nor disagree,Disagree,Strongly disagree,Agree,Agree,3.92,2.29,4.17,3.83,5.0,2.0,2.5
239,240.0,Male,Married,Master,Finance,6 - 10 Years,Yes,Yes,Mid-level manager,Private,35.0,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly agree,Agree,4.17,2.71,3.17,4.0,2.5,2.25,2.25
240,241.0,Male,Married,Master,Production,1 - 5 Years,Yes,No,Operation manager,State,27.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4.92,5.0,5.0,5.0,5.0,5.0,5.0
241,242.0,Female,Married,Master,Finance,16 - 20 Years,Yes,Yes,Mid-level manager,Private,39.0,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,3.5,3.14,3.67,3.0,3.5,2.25,3.5
242,243.0,Male,Married,Master,Finance,21 + Years,No,Yes,Expert,Private,48.0,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,3.25,2.43,3.5,2.83,3.5,3.75,3.25
243,244.0,Male,Married,Master,Finance,11 - 15 Years,Yes,Yes,Mid-level manager,Private,40.0,Agree,Agree,Agree,Strongly agree,Strongly agree,3.42,4.43,3.83,4.17,4.5,5.0,4.5
244,245.0,Male,Married,Master,Education,16 - 20 Years,No,No,Mid-level manager,Private,40.0,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Agree,Agree,3.67,2.71,3.67,4.0,4.0,3.75,4.25
245,246.0,Male,Married,Bachelor,Finance,11 - 15 Years,Yes,Yes,Expert,Private,33.0,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Strongly agree,4.0,3.43,4.33,4.5,5.0,5.0,5.0
246,247.0,Male,Married,Bachelor,Finance,6 - 10 Years,Yes,No,Expert,Private,37.0,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,4.83,4.71,4.17,5.0,5.0,5.0,5.0
